"행정구역별(시군구)","항목","단위","2010 년",
"평택시","여자","","2731",
"동두천시","총인구","","91828",
"동두천시","남자","","45499",
"동두천시","여자","","46329",
"동두천시","총내국인","","90433",
"동두천시","남자","","44708",
"동두천시","여자","","45725",
"동두천시","총외국인","","1395",
"동두천시","남자","","791",
"동두천시","여자","","604",
"안산시","총인구","","728775",
"안산시","남자","","373471",
"안산시","여자","","355304",
"안산시","총내국인","","699063",
"안산시","남자","","356059",
"안산시","여자","","343004",
"안산시","총외국인","","29712",
"안산시","남자","","17412",
"안산시","여자","","12300",
"고양시","총인구","","905076",
"고양시","남자","","443323",
"고양시","여자","","461753",
"고양시","총내국인","","897222",
"고양시","남자","","439587",
"고양시","여자","","457635",
"고양시","총외국인","","7854",
"고양시","남자","","3736",
"고양시","여자","","4118",
"과천시","총인구","","66704",
"과천시","남자","","32810",
"과천시","여자","","33894",
"과천시","총내국인","","66319",
"과천시","남자","","32634",
"과천시","여자","","33685",
"과천시","총외국인","","385",
"과천시","남자","","176",
"과천시","여자","","209",
"구리시","총인구","","185550",
"구리시","남자","","91450",
"구리시","여자","","94100",
"구리시","총내국인","","184503",
"구리시","남자","","91003",
"구리시","여자","","93500",
"구리시","총외국인","","1047",
"구리시","남자","","447",
"구리시","여자","","600",
"남양주시","총인구","","529898",
"남양주시","남자","","263646",
"남양주시","여자","","266252",
"남양주시","총내국인","","526639",
"남양주시","남자","","261921",
"남양주시","여자","","264718",
"남양주시","총외국인","","3259",
"남양주시","남자","","1725",
"남양주시","여자","","1534",
"오산시","총인구","","183890",
"오산시","남자","","93430",
"오산시","여자","","90460",
"오산시","총내국인","","180996",
"오산시","남자","","92124",
"오산시","여자","","88872",
"오산시","총외국인","","2894",
"오산시","남자","","1306",
"오산시","여자","","1588",
"시흥시","총인구","","407090",
"시흥시","남자","","214273",
"시흥시","여자","","192817",
"시흥시","총내국인","","393293",
"시흥시","남자","","205262",
"시흥시","여자","","188031",
"시흥시","총외국인","","13797",
"시흥시","남자","","9011",
"시흥시","여자","","4786",
"군포시","총인구","","278083",
"군포시","남자","","138185",
"군포시","여자","","139898",
"군포시","총내국인","","274198",
"군포시","남자","","136179",
"군포시","여자","","138019",
"군포시","총외국인","","3885",
"군포시","남자","","2006",
"군포시","여자","","1879",
"의왕시","총인구","","144501",
"의왕시","남자","","72166",
"의왕시","여자","","72335",
"의왕시","총내국인","","143378",
"의왕시","남자","","71569",
"의왕시","여자","","71809",
"의왕시","총외국인","","1123",
"의왕시","남자","","597",
"의왕시","여자","","526",
"하남시","총인구","","138829",
"하남시","남자","","70034",
"하남시","여자","","68795",
"하남시","총내국인","","137569",
"하남시","남자","","69365",
"하남시","여자","","68204",
"하남시","총외국인","","1260",
"하남시","남자","","669",
"하남시","여자","","591",
"용인시","총인구","","856765",
"용인시","남자","","424383",
"용인시","여자","","432382",
"용인시","총내국인","","847138",
"용인시","남자","","419471",
"용인시","여자","","427667",
"용인시","총외국인","","9627",
"용인시","남자","","4912",
"용인시","여자","","4715",
"파주시","총인구","","328128",
"파주시","남자","","166278",
"파주시","여자","","161850",
"파주시","총내국인","","323955",
"파주시","남자","","163570",
"파주시","여자","","160385",
"파주시","총외국인","","4173",
"파주시","남자","","2708",
"파주시","여자","","1465",
"이천시","총인구","","195175",
"이천시","남자","","96963",
"이천시","여자","","98212",
"이천시","총내국인","","192918",
"이천시","남자","","95643",
"이천시","여자","","97275",
"이천시","총외국인","","2257",
"이천시","남자","","1320",
"이천시","여자","","937",
"안성시","총인구","","179782",
"안성시","남자","","91663",
"안성시","여자","","88119",
"안성시","총내국인","","175824",
"안성시","남자","","89313",
"안성시","여자","","86511",
"안성시","총외국인","","3958",
"안성시","남자","","2350",
"안성시","여자","","1608",
"김포시","총인구","","224350",
"김포시","남자","","114596",
"김포시","여자","","109754",
"김포시","총내국인","","217280",
"김포시","남자","","109124",
"김포시","여자","","108156",
"김포시","총외국인","","7070",
"김포시","남자","","5472",
"김포시","여자","","1598",
"화성시","총인구","","488758",
"화성시","남자","","253385",
"화성시","여자","","235373",
"화성시","총내국인","","474160",
"화성시","남자","","242708",
"화성시","여자","","231452",
"화성시","총외국인","","14598",
"화성시","남자","","10677",
"화성시","여자","","3921",
"광주시","총인구","","228747",
"광주시","남자","","116495",
"광주시","여자","","112252",
"광주시","총내국인","","224269",
"광주시","남자","","113572",
"광주시","여자","","110697",
"광주시","총외국인","","4478",
"광주시","남자","","2923",
"광주시","여자","","1555",
"양주시","총인구","","187911",
"양주시","남자","","95714",
"양주시","여자","","92197",
"양주시","총내국인","","183673",
"양주시","남자","","92489",
"양주시","여자","","91184",
"양주시","총외국인","","4238",
"양주시","남자","","3225",
"양주시","여자","","1013",
"포천시","총인구","","140997",
"포천시","남자","","72813",
"포천시","여자","","68184",
"포천시","총내국인","","136580",
"포천시","남자","","69508",
"포천시","여자","","67072",
"포천시","총외국인","","4417",
"포천시","남자","","3305",
"포천시","여자","","1112",
"여주군","총인구","","101203",
"여주군","남자","","50060",
"여주군","여자","","51143",
"여주군","총내국인","","100052",
"여주군","남자","","49362",
"여주군","여자","","50690",
"여주군","총외국인","","1151",
"여주군","남자","","698",
"여주군","여자","","453",
"연천군","총인구","","41770",
"연천군","남자","","21428",
"연천군","여자","","20342",
"연천군","총내국인","","41295",
"연천군","남자","","21096",
"연천군","여자","","20199",
"연천군","총외국인","","475",
"연천군","남자","","332",
"연천군","여자","","143",
"가평군","총인구","","50879",
"가평군","남자","","25619",
"가평군","여자","","25260",
"가평군","총내국인","","50272",
"가평군","남자","","25381",
"가평군","여자","","24891",
"가평군","총외국인","","607",
"가평군","남자","","238",
"가평군","여자","","369",
"양평군","총인구","","82802",
"양평군","남자","","41028",
"양평군","여자","","41774",
"양평군","총내국인","","82131",
"양평군","남자","","40733",
"양평군","여자","","41398",
"양평군","총외국인","","671",
"양평군","남자","","295",
"양평군","여자","","376",
